org_code,Flag,,,
RFW,1,,,
RQQ,1,,,
RM2,1,,,
RW3,1,,,
RR1,1,,,
RGQ,1,,,
RJF,1,,,
RLN,1,,,
RE9,1,,,
RNL,1,,,
RQ6,1,,,
R0D,1,,,
RBA,1,,,
RC1,1,,,
RDD,1,,,
RQ8,1,,,
RA3,1,,,
RH5,1,,,
RDZ,1,,,
RD3,1,,,
RNN,1,,,
RXH,1,,,
R0B,1,,,
RW6,1,,,
RBZ,1,,,
R0A,1,,,
RA4,1,,,
RVY,1,,,
RHQ,1,,,
RAP,1,,,
RFR,1,,,
RWH,1,,,
RBN,1,,,
RM3,1,,,
RTK,1,,,
RA9,1,,,
RBK,1,,,
RD8,1,,,
RRF,1,,,
RAE,1,,,
RCX,1,,,
RDE,1,,,
RN5,1,,,
RDU,1,,,
RP5,1,,,
RAJ,1,,,
RQX,1,,,
RAL,1,,,
RTE,1,,,
REF,1,,,
RVJ,1,,,
REM,1,,,
RWD,1,,,
RF4,1,,,
RMP,1,,,
RFF,1,,,
RNA,1,,,
RCD,1,,,
RNS,1,,,
RFS,1,,,
RQ3,1,,,
RBT,1,,,
R1H,1,,,
RGN,1,,,
RR7,1,,,
RGP,1,,,
RRV,1,,,
RCF,1,,,
RTG,1,,,
RGR,1,,,
RTR,1,,,
RGT,1,,,
RVV,1,,,
RAS,1,,,
RC9,1,,,
RH8,1,,,
RWF,1,,,
RHM,1,,,
RMC,1,,,
RN3,1,,,
RHU,1,,,
RN7,1,,,
RHW,1,,,
RBD,1,,,
RJ1,1,,,
RNQ,1,,,
RJ2,1,,,
RNZ,1,,,
RJ6,1,,,
RPA,1,,,
RJ7,1,,,
RBL,1,,,
RJC,1,,,
RQM,1,,,
RJE,1,,,
RQW,1,,,
RWW,1,,,
R1K,1,,,
RWY,1,,,
RR8,1,,,
RXC,1,,,
RRK,1,,,
RWP,1,,,
RTD,1,,,
RAX,1,,,
RTF,1,,,
RXP,1,,,
RTH,1,,,
RXR,1,,,
RTP,1,,,
RYJ,1,,,
RTX,1,,,
RA7,1,,,
RVR,1,,,
RL4,1,,,
RVW,1,,,
RWJ,1,,,
RA2,1,,,
RWA,1,,,
RWG,1,,,
RWE,1,,,
RCB,1,,,
RD1,1,,,
R1F,1,,,
RLT,1,,,
RM1,1,,,
RLQ,1,,,
RXL,1,,,
RX1,1,,,
RJL,1,,,
RXF,1,,,
RJN,1,,,
RXK,1,,,
RJR,1,,,
RXN,1,,,
RJZ,1,,,
RXQ,1,,,
RK5,1,,,
RXW,1,,,
RK9,1,,,
RYR,1,,,
RKB,1,,,
RKE,1,,,
